State, Facility Name, Facility ID (ORISPL), Program(s) Selected, Year, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Facility Latitude, Facility Longitude
"CT","Bridgeport Harbor Station","568","ARP","2016","220547.05",,"238.765","153.306","242327.339","2310510.221","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2017","232257.48",,"228.878","172.744","251352.213","2396568.636","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2018","373023.85",,"348.586","254.454","393320.563","3750212.12","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2019","76605.56",,"71.231","49.379","77477.648","738727.976","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","1980",,,"7081",,,"29678935","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","1985",,,"16355",,,"31046990","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","1990",,,"15447",,,"35845126","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","1995",,,"11018","3323","2698967","23402829","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","1996",,,"12600.7","3844","3086486","30594568","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","1997","3457844.25",,"15173.788","4915.396","3610987.131","36843525.2","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","1998","2267017.75",,"10584.493","3345.687","2306187.548","24408202.5","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","1999","1780646.5",,"10067.726","2083.316","1658506.95","20475844.1","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2000","2166398",,"9220.459","2834.285","2274683.944","22384913.431","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2001","2583817.21",,"10863.442","3385.219","2620973.109","25758234.984","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2002","1811946.85",,"4090.103","1735.614","1884300.539","18428739.468","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2003","2729968.82",,"3410.689","2161.226","2929108.674","28626340.094","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2004","2844875.2",,"2866.884","2252.838","3207991.949","31371594.387","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2005","2874839.44",,"2830.618","2055.705","3140776.822","30712147.18","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2006","2972693.18",,"2885.473","2176.58","3272692.731","32013491.011","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2007","2470108.73",,"2744.033","1788.638","2710814.666","26499662.917","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2008","3018604.13",,"2974.554","2127.394","3188531.122","30601403.146","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2009","1075599.33",,"1272.856","846.814","1174538.335","11214027.485","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2010","1311047.72",,"1273.195","948.818","1389597.279","13273453.763","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2011","529593.63",,"513.636","372.489","554068.133","5285636.939","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2012","129294.56",,"144.859","106.006","156454.144","1491744.004","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2013","740503.47",,"781.628","496.757","765427.358","7298147.828","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2014","890831.61",,"921.648","591.308","910431.528","8680699.697","1","NPCC","Fairfield County","41.1706","-73.1843",
"CT","Bridgeport Harbor Station","568","ARP","2015","654483.61",,"707.185","443.293","692802.542","6605666.608","1","NPCC","Fairfield County","41.1706","-73.1843",
